step,signal,queue,action,throughput,delay
127,2489157872,0,1,0,491.0
127,2489157876,0,2,0,491.0
127,30037903,6.0,0,0,491.0
127,30037904,2,0,0,491.0
128,2489157872,0.0,1,1,509.0
128,2489157876,0,2,1,509.0
128,30037903,12,0,1,509.0
128,30037904,2,0,1,509.0
129,2489157872,0,1,0,528.0
129,2489157876,0,0,0,528.0
129,30037903,12,2,0,528.0
129,30037904,2,2,0,528.0
130,2489157872,0,1,0,544.0
130,2489157876,0,2,0,544.0
130,30037903,12,1,0,544.0
130,30037904,2,0,0,544.0
131,2489157872,0,1,0,560.0
131,2489157876,0,0,0,560.0
131,30037903,7.0,1,0,560.0
131,30037904,2,2,0,560.0
132,2489157872,0,1,0,575.0
132,2489157876,0,2,0,575.0
132,30037903,14,0,0,575.0
132,30037904,2,0,0,575.0
133,2489157872,0,1,0,593.0
133,2489157876,0.0,0,0,593.0
133,30037903,14,2,0,593.0
133,30037904,2,2,0,593.0
134,2489157872,0.0,0,0,611.0
134,2489157876,0,1,0,611.0
134,30037903,14,1,0,611.0
134,30037904,1.0,2,0,611.0
135,2489157872,0,0,0,629.0
135,2489157876,0,1,0,629.0
135,30037903,14,1,0,629.0
135,30037904,2,0,0,629.0
136,2489157872,0,0,1,648.0
136,2489157876,0,2,1,648.0
136,30037903,14,0,1,648.0
136,30037904,2,1,1,648.0
137,2489157872,0,2,0,668.0
137,2489157876,0,1,0,668.0
137,30037903,14,2,0,668.0
137,30037904,2,0,0,668.0
138,2489157872,0,2,2,690.0
138,2489157876,0,1,2,690.0
138,30037903,7.0,2,2,690.0
138,30037904,2,0,2,690.0
139,2489157872,0,2,0,712.0
139,2489157876,0,1,0,712.0
139,30037903,14,0,0,712.0
139,30037904,2,0,0,712.0
140,2489157872,0,2,0,733.0
140,2489157876,0,1,0,733.0
140,30037903,14,2,0,733.0
140,30037904,1.0,0,0,733.0
141,2489157872,0,2,0,755.0
141,2489157876,0,2,0,755.0
141,30037903,14,1,0,755.0
141,30037904,1.0,1,0,755.0
142,2489157872,0.0,0,1,777.0
142,2489157876,0,2,1,777.0
142,30037903,14,0,1,777.0
142,30037904,2,0,1,777.0
143,2489157872,0,1,0,794.0
143,2489157876,0,2,0,794.0
143,30037903,14,2,0,794.0
143,30037904,2,0,0,794.0
144,2489157872,0,1,0,817.0
144,2489157876,0,2,0,817.0
144,30037903,14,1,0,817.0
144,30037904,2,0,0,817.0
145,2489157872,0.0,1,0,840.0
145,2489157876,0,2,0,840.0
145,30037903,14,0,0,840.0
145,30037904,2,0,0,840.0
146,2489157872,0,1,1,863.0
146,2489157876,0,0,1,863.0
146,30037903,14,2,1,863.0
146,30037904,2,1,1,863.0
147,2489157872,0,2,0,874.0
147,2489157876,0,1,0,874.0
147,30037903,14,1,0,874.0
147,30037904,2,2,0,874.0
148,2489157872,0,0,0,897.0
148,2489157876,0,2,0,897.0
148,30037903,16,0,0,897.0
148,30037904,2,1,0,897.0
149,2489157872,0.0,0,0,921.0
149,2489157876,0,1,0,921.0
149,30037903,16,1,0,921.0
149,30037904,1.0,2,0,921.0
150,2489157872,0,0,0,946.0
150,2489157876,0,1,0,946.0
150,30037903,8.0,2,0,946.0
150,30037904,2,2,0,946.0
151,2489157872,0,0,0,970.0
151,2489157876,0.0,0,0,970.0
151,30037903,18,2,0,970.0
151,30037904,2,1,0,970.0
152,2489157872,0,1,0,996.0
152,2489157876,0,2,0,996.0
152,30037903,10.0,0,0,996.0
152,30037904,2,0,0,996.0
153,2489157872,0,1,1,1023.0
153,2489157876,0,2,1,1023.0
153,30037903,20,0,1,1023.0
153,30037904,2,0,1,1023.0
154,2489157872,0,2,1,1052.0
154,2489157876,0,2,1,1052.0
154,30037903,10.0,2,1,1052.0
154,30037904,2,0,1,1052.0
155,2489157872,0.0,1,2,1084.0
155,2489157876,0,1,2,1084.0
155,30037903,20,1,2,1084.0
155,30037904,2,2,2,1084.0
156,2489157872,0.0,0,1,1114.0
156,2489157876,0,2,1,1114.0
156,30037903,20,2,1,1114.0
156,30037904,2,0,1,1114.0
157,2489157872,0,1,1,1146.0
157,2489157876,0,2,1,1146.0
157,30037903,21,1,1,1146.0
157,30037904,2,0,1,1146.0
158,2489157872,0,1,0,1174.0
158,2489157876,0,2,0,1174.0
158,30037903,10.5,1,0,1174.0
158,30037904,2,0,0,1174.0
159,2489157872,0,1,1,1205.0
159,2489157876,0.0,2,1,1205.0
159,30037903,21,0,1,1205.0
159,30037904,2,0,1,1205.0
160,2489157872,0,1,0,1236.0
160,2489157876,0,1,0,1236.0
160,30037903,21,2,0,1236.0
160,30037904,2,2,0,1236.0
161,2489157872,0.0,0,2,1267.0
161,2489157876,0,0,2,1267.0
161,30037903,21,1,2,1267.0
161,30037904,2,1,2,1267.0
162,2489157872,0,2,1,1300.0
162,2489157876,0,0,1,1300.0
162,30037903,22,0,1,1300.0
162,30037904,1.0,1,1,1300.0
163,2489157872,0.0,2,1,1334.0
163,2489157876,0.0,0,1,1334.0
163,30037903,22,2,1,1334.0
163,30037904,2,1,1,1334.0
164,2489157872,0.0,2,0,1368.0
164,2489157876,0,0,0,1368.0
164,30037903,11.0,0,0,1368.0
164,30037904,2,1,0,1368.0
165,2489157872,0,2,0,1389.0
165,2489157876,0,0,0,1389.0
165,30037903,22,1,0,1389.0
165,30037904,2,1,0,1389.0
166,2489157872,0,2,1,1422.0
166,2489157876,0,0,1,1422.0
166,30037903,22,0,1,1422.0
166,30037904,2,1,1,1422.0
167,2489157872,0,2,1,1455.0
167,2489157876,0,0,1,1455.0
167,30037903,22,2,1,1455.0
167,30037904,2,1,1,1455.0
168,2489157872,0,2,0,1489.0
168,2489157876,0,0,0,1489.0
168,30037903,22,0,0,1489.0
168,30037904,2,1,0,1489.0
169,2489157872,0,2,1,1523.0
169,2489157876,0,1,1,1523.0
169,30037903,22,1,1,1523.0
169,30037904,2,0,1,1523.0
170,2489157872,0,2,0,1558.0
170,2489157876,0,0,0,1558.0
170,30037903,22,2,0,1558.0
170,30037904,2,1,0,1558.0
171,2489157872,0,0,0,1593.0
171,2489157876,0,2,0,1593.0
171,30037903,22,1,0,1593.0
171,30037904,2,1,0,1593.0
172,2489157872,0.0,0,2,1628.0
172,2489157876,0,2,2,1628.0
172,30037903,22,0,2,1628.0
172,30037904,2,1,2,1628.0
173,2489157872,0.0,0,0,1663.0
173,2489157876,0,1,0,1663.0
173,30037903,22,2,0,1663.0
173,30037904,2,2,0,1663.0
174,2489157872,0.0,2,1,1693.0
174,2489157876,0,0,1,1693.0
174,30037903,22,1,1,1693.0
174,30037904,1.0,1,1,1693.0
175,2489157872,0.0,0,1,1727.0
175,2489157876,0,2,1,1727.0
175,30037903,22,0,1,1727.0
175,30037904,2,1,1,1727.0
176,2489157872,0,0,1,1761.0
176,2489157876,0,1,1,1761.0
176,30037903,22,2,1,1761.0
176,30037904,2,0,1,1761.0
177,2489157872,0,2,0,1795.0
177,2489157876,0,2,0,1795.0
177,30037903,22,1,0,1795.0
177,30037904,2,1,0,1795.0
178,2489157872,0,2,2,1829.0
178,2489157876,0,0,2,1829.0
178,30037903,22,0,2,1829.0
178,30037904,2,1,2,1829.0
179,2489157872,0,1,0,1863.0
179,2489157876,0,2,0,1863.0
179,30037903,22,2,0,1863.0
179,30037904,2,0,0,1863.0
180,2489157872,0.0,2,0,1897.0
180,2489157876,0,1,0,1897.0
180,30037903,22,1,0,1897.0
180,30037904,2,0,0,1897.0
181,2489157872,0.0,0,0,1932.0
181,2489157876,0,1,0,1932.0
181,30037903,24,0,0,1932.0
181,30037904,2,2,0,1932.0
182,2489157872,0,1,0,1967.0
182,2489157876,0,2,0,1967.0
182,30037903,24,2,0,1967.0
182,30037904,2,0,0,1967.0
183,2489157872,0,0,0,2002.0
183,2489157876,0,2,0,2002.0
183,30037903,24,1,0,2002.0
183,30037904,2,1,0,2002.0
184,2489157872,0,0,0,2037.0
184,2489157876,0,1,0,2037.0
184,30037903,24,0,0,2037.0
184,30037904,2,2,0,2037.0
185,2489157872,0,2,0,2073.0
185,2489157876,0,0,0,2073.0
185,30037903,24,0,0,2073.0
185,30037904,2,2,0,2073.0
186,2489157872,0.0,0,0,2110.0
186,2489157876,0,1,0,2110.0
186,30037903,25,0,0,2110.0
186,30037904,2,0,0,2110.0
187,2489157872,0,1,0,2148.0
187,2489157876,0,2,0,2148.0
187,30037903,25,1,0,2148.0
187,30037904,2,0,0,2148.0
188,2489157872,0,1,1,2186.0
188,2489157876,0.0,2,1,2186.0
188,30037903,25,2,1,2186.0
188,30037904,2,2,1,2186.0
189,2489157872,0,0,0,2225.0
189,2489157876,0,0,0,2225.0
189,30037903,25,2,0,2225.0
189,30037904,2,1,0,2225.0
190,2489157872,0,1,0,2264.0
190,2489157876,0,2,0,2264.0
190,30037903,12.5,0,0,2264.0
190,30037904,2,0,0,2264.0
191,2489157872,0,1,0,2296.0
191,2489157876,0.0,1,0,2296.0
191,30037903,25,0,0,2296.0
191,30037904,2,2,0,2296.0
192,2489157872,0,0,1,2330.0
192,2489157876,0,1,1,2330.0
192,30037903,25,1,1,2330.0
192,30037904,1.0,2,1,2330.0
193,2489157872,0,2,1,2368.0
193,2489157876,0,1,1,2368.0
193,30037903,25,2,1,2368.0
193,30037904,2,0,1,2368.0
194,2489157872,0,2,0,2405.0
194,2489157876,0,0,0,2405.0
194,30037903,25,1,0,2405.0
194,30037904,2,1,0,2405.0
195,2489157872,0,2,0,2444.0
195,2489157876,0,0,0,2444.0
195,30037903,25,0,0,2444.0
195,30037904,2,1,0,2444.0
196,2489157872,0,1,0,2484.0
196,2489157876,0,2,0,2484.0
196,30037903,25,2,0,2484.0
196,30037904,2,0,0,2484.0
197,2489157872,0.0,1,0,2525.0
197,2489157876,0,2,0,2525.0
197,30037903,25,1,0,2525.0
197,30037904,1.0,1,0,2525.0
198,2489157872,0,0,0,2564.0
198,2489157876,0,2,0,2564.0
198,30037903,25,0,0,2564.0
198,30037904,2,0,0,2564.0
199,2489157872,0,2,0,2605.0
199,2489157876,0,0,0,2605.0
199,30037903,25,2,0,2605.0
199,30037904,2,1,0,2605.0
200,2489157872,0,2,0,2646.0
200,2489157876,0,1,0,2646.0
200,30037903,25,1,0,2646.0
200,30037904,1.0,2,0,2646.0
201,2489157872,0,0,0,2687.0
201,2489157876,0,0,0,2687.0
201,30037903,25,0,0,2687.0
201,30037904,2,1,0,2687.0
202,2489157872,0,0,1,2728.0
202,2489157876,0,2,1,2728.0
202,30037903,25,2,1,2728.0
202,30037904,2,1,1,2728.0
203,2489157872,0,0,1,2769.0
203,2489157876,0,2,1,2769.0
203,30037903,12.5,1,1,2769.0
203,30037904,2,1,1,2769.0
204,2489157872,0,0,1,2810.0
204,2489157876,0,2,1,2810.0
